time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/std,train/approx_kl,train/clip_range,train/explained_variance
99,679,67584,241.92164179104478,1000.0,33,320,-7.134683051705361,1e-05,-0.005667952245494235,13.542085792124272,0.00966796875,1.2413055896759033,1.0081140995025635,0.0034734556,0.2,0.8521360605955124
102,678,69632,242.2355072463768,1000.0,34,330,-7.1349825203418735,1e-05,-0.0009050149259564932,12.20659089833498,0.001220703125,2.659642219543457,1.0080903768539429,0.0008955382,0.2,0.8761444762349129
105,678,71680,242.5387323943662,1000.0,35,340,-7.135756452381611,1e-05,-0.0035769075126154347,16.72203945964575,0.004150390625,2.3228468894958496,1.0084302425384521,0.0023954865,0.2,0.8605652153491974
108,678,73728,242.91438356164383,1000.0,36,350,-7.13705053627491,1e-05,-0.0036415534319530706,15.512176839634776,0.00263671875,1.416585922241211,1.0086246728897095,0.0016803499,0.2,0.8564923703670502
111,678,75776,243.21,1000.0,37,360,-7.138086330890656,1e-05,-0.002295417601271765,14.10207974538207,0.003759765625,1.9091671705245972,1.0088027715682983,0.0032829165,0.2,0.8642631620168686
114,678,77824,243.25974025974025,1000.0,38,370,-7.1392608568072315,1e-05,-0.00594963396069943,15.682565055042506,0.00634765625,4.026282787322998,1.0091930627822876,0.0026612072,0.2,0.8506375402212143
117,678,79872,243.27848101265823,1000.0,39,380,-7.141047161817551,1e-05,-0.0009570017267833464,13.407434127107262,0.0001953125,1.8663513660430908,1.0094356536865234,0.00088829326,0.2,0.8734436333179474
120,678,81920,243.31172839506172,1000.0,40,390,-7.141572278738022,1e-05,-0.0022622228130785515,14.72354994341731,0.00234375,1.2558397054672241,1.009413480758667,0.0017570627,0.2,0.8777803108096123
123,678,83968,244.08132530120483,1000.0,41,400,-7.142682157456875,1e-05,-0.0018442169632180594,15.895752328634263,0.002685546875,7.795441150665283,1.0099337100982666,0.0015149496,0.2,0.8760242834687233
126,677,86016,244.82558139534885,1000.0,42,410,-7.1454205304384235,1e-05,-0.003034290765208425,16.710338474065065,0.003271484375,4.9507880210876465,1.0104758739471436,0.0013423144,0.2,0.8743487447500229
129,677,88064,245.55113636363637,1000.0,43,420,-7.147191081941128,1e-05,-0.0033880195449455643,23.030023562163116,0.00498046875,6.856863498687744,1.0106868743896484,0.0015603483,0.2,0.8502100259065628
133,677,90112,245.73888888888888,1000.0,44,430,-7.148792885243893,1e-05,-0.0021561767425737344,15.149074814468623,0.003857421875,1.2815660238265991,1.0110809803009033,0.0019209278,0.2,0.8924164548516273
136,677,92160,245.85326086956522,1000.0,45,440,-7.150521247088909,1e-05,-0.0036813792656175794,13.288548564165831,0.005126953125,1.7906571626663208,1.0114165544509888,0.0021139404,0.2,0.8794232755899429
139,677,94208,246.73936170212767,1000.0,46,450,-7.1523464396595955,1e-05,-0.004099921491433634,14.788597572222352,0.0087890625,2.4958078861236572,1.011773943901062,0.0029780227,0.2,0.8792475908994675
142,677,96256,247.26041666666666,1000.0,47,460,-7.154369793832302,1e-05,-0.003287011432257714,15.894458308815956,0.005029296875,3.0108540058135986,1.0122618675231934,0.0030211161,0.2,0.8779770731925964
145,676,98304,247.30867346938774,1000.0,48,470,-7.156612704694271,1e-05,-0.0010185129918681922,17.702208556234837,0.00126953125,7.6530232429504395,1.0126336812973022,0.00077016547,0.2,0.8684143722057343
148,676,100352,247.27,1000.0,49,480,-7.15779880285263,1e-05,-0.004031504378508544,14.809683377295732,0.012841796875,9.924994468688965,1.0127708911895752,0.0044609723,0.2,0.875892162322998
